date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:41:48	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/robots.txt		(from )
01:41:48	165343/165343	---M-Z	200	added ('OK')	text/html	etag:%22285df-64d91a6d-260780241795b528;gz%22	https://free.kurd4u.com/	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/index.html	(from )
01:41:48	659659/659659	---M-Z	200	added ('OK')	text/css	etag:%22a10cb-64b7f4bf-9146ad41f622049f;gz%22	https://free.kurd4u.com/css/framework7.bundle.min.css	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/css/framework7.bundle.min.css	(from https://free.kurd4u.com/)
01:41:48	15651/15651	---M-Z	200	added ('OK')	text/css	etag:%223d23-64b7f4bf-c48fd23e185cf684;gz%22	https://free.kurd4u.com/css/app.css	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/css/app.css	(from https://free.kurd4u.com/)
01:41:49	6673/6673	---M-Z	200	added ('OK')	text/css	etag:%221a11-64b7f4bf-ea3a823bc8e1d57d;gz%22	https://free.kurd4u.com/css/my-app.css	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/css/my-app.css	(from https://free.kurd4u.com/)
01:41:49	4181/4181	---M-Z	200	added ('OK')	application/javascript	etag:%2264981461-65e%22	https://cdnjs.cloudflare.com/ajax/libs/inobounce/0.2.0/inobounce.js	C:/Users/salm%20duski/Pictures/website/cdnjs.cloudflare.com/ajax/libs/inobounce/0.2.0/inobounce.js	(from https://free.kurd4u.com/)
01:41:49	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/img/icon.png	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/img/icon.png	(from https://free.kurd4u.com/)
01:41:49	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/img/icon-square.png	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/img/icon-square.png	(from https://free.kurd4u.com/)
01:41:50	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/Users/salm%20duski/Pictures/website/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://free.kurd4u.com/)
01:41:50	71752/71752	---M-Z	200	added ('OK')	text/css	etag:%22649564fe-13ea%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.0.0/animate.min.css	C:/Users/salm%20duski/Pictures/website/cdnjs.cloudflare.com/ajax/libs/animate.css/4.0.0/animate.min.css	(from https://free.kurd4u.com/)
